query,url,title,grade
teams,https://docs.microsoft.com/en-us/microsoftteams/teams-overview,Microsoft Teams,10
teams,https://docs.microsoft.com/en-us/microsoftteams/microsoft-teams,Microsoft Teams technical documentation - Microsoft Teams ...,9
teams,https://docs.microsoft.com/en-us/learn/certifications/m365-teams-administrator-associate,Microsoft 365 Certified: Teams Administrator Associate - Learn ...,8
teams,https://docs.microsoft.com/en-us/microsoftteams/private-channels,Private channels in Microsoft Teams,7
teams,https://docs.microsoft.com/en-us/microsoftteams/instructor-led-training-teams-landing-page,Instructor-led training and videos for Microsoft Teams users ...,6
teams,https://docs.microsoft.com/en-us/microsoftteams/adopt-microsoft-teams-landing-page,Adopt Microsoft Teams,5
teams,https://docs.microsoft.com/en-us/learn/certifications/exams/ms-700,Exam MS-700: Managing Microsoft Teams - Learn | Microsoft Docs,4
teams,https://docs.microsoft.com/en-us/microsoftteams/itadmin-readiness,Admin training for Microsoft Teams,3
teams,https://docs.microsoft.com/en-us/microsoftteams/rooms/requirements,Microsoft Teams Rooms requirements - Microsoft Teams | Microsoft ...,2
teams,https://docs.microsoft.com/en-us/microsoftteams/teams-architecture-solutions-posters,Microsoft Teams IT architecture and telephony solutions posters ...,1
array,https://docs.microsoft.com/en-us/scripting/javascript/reference/array-object-javascript,Array - JavaScript | MDN,10
array,https://docs.microsoft.com/en-us/scripting/javascript/reference/array-from-function-array-javascript,Array.from() - JavaScript | MDN,9
array,https://docs.microsoft.com/en-us/scripting/javascript/reference/map-method-array-javascript?redirectedfrom=MSDN,Array.prototype.map() - JavaScript | MDN,8
array,https://docs.microsoft.com/en-us/dotnet/api/system.array,Array Class (System) | Microsoft Docs,7
array,https://docs.microsoft.com/en-us/scripting/javascript/reference/filter-method-array-javascript,Array.prototype.filter() - JavaScript | MDN,6
array,https://docs.microsoft.com/en-us/scripting/javascript/reference/array-of-function-array-javascript,Array.of() - JavaScript | MDN,5
array,https://docs.microsoft.com/en-us/scripting/javascript/reference/reduce-method-array-javascript,Array.prototype.reduce() - JavaScript | MDN,4
array,https://docs.microsoft.com/en-us/scripting/javascript/reference/slice-method-array-javascript,Array.prototype.slice() - JavaScript | MDN,3
array,https://docs.microsoft.com/en-us/scripting/javascript/reference/sort-method-array-javascript,Array.prototype.sort() - JavaScript | MDN,2
array,https://docs.microsoft.com/en-us/scripting/javascript/reference/foreach-method-array-javascript,Array.prototype.forEach() - JavaScript | MDN,1
password,https://docs.microsoft.com/en-us/azure/active-directory/user-help/active-directory-passwords-reset-register,Register authentication info to reset your own password - Azure AD ...,10
password,https://docs.microsoft.com/en-us/azure/active-directory/hybrid/how-to-connect-password-hash-synchronization,Implement password hash synchronization with Azure AD Connect ...,9
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/tutorial-enable-sspr,Enable Azure Active Directory self-service password reset | Microsoft ...,8
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-sspr-writeback,Configure password writeback for SSPR - Azure Active Directory ...,7
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/concept-sspr-policy,Self-service password reset policies - Azure Active Directory ...,6
password,https://docs.microsoft.com/en-us/intune-user-help/password-does-not-meet-it-administrator-requirements,Password requirements for devices in Intune Company Portal ...,5
password,https://docs.microsoft.com/en-us/sql/t-sql/statements/create-master-key-transact-sql,CREATE MASTER KEY (Transact-SQL) - SQL Server | Microsoft Docs,4
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-password-ban-bad-on-premises-deploy,Deploy Azure AD password protection - Azure Active Directory ...,3
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/concept-password-ban-bad-on-premises,Azure AD password protection - Azure Active Directory | Microsoft ...,2
password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-sspr-deployment,Self-service password reset deployment - Azure Active Directory ...,1
string,https://docs.microsoft.com/en-us/scripting/javascript/reference/string-object-javascript,String - JavaScript | MDN,10
string,https://docs.microsoft.com/en-us/scripting/javascript/data-types-javascript,JavaScript data types and data structures - JavaScript | MDN,9
string,https://docs.microsoft.com/en-us/dotnet/api/system.string,String Class (System) | Microsoft Docs,8
string,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/builtin-types/reference-types,Built-in reference types - C# reference | Microsoft Docs,7
string,https://docs.microsoft.com/en-us/scripting/javascript/reference/split-method-string-javascript,String.prototype.split() - JavaScript | MDN,6
string,https://docs.microsoft.com/en-us/scripting/javascript/reference/indexof-method-string-javascript,String.prototype.indexOf() - JavaScript | MDN,5
string,https://docs.microsoft.com/en-us/scripting/javascript/reference/tostring-method-string-1,String.prototype.toString() - JavaScript | MDN,4
string,https://docs.microsoft.com/en-us/scripting/javascript/reference/replace-method-string-javascript,String.prototype.replace() - JavaScript | MDN,3
string,https://docs.microsoft.com/en-us/scripting/javascript/reference/includes-method-string-javascript,String.prototype.includes() - JavaScript | MDN,2
string,https://docs.microsoft.com/en-us/scripting/javascript/advanced/template-strings-javascript,Template literals (Template strings) - JavaScript | MDN,1
format,https://docs.microsoft.com/en-us/sql/t-sql/functions/format-transact-sql,FORMAT (Transact-SQL) - SQL Server | Microsoft Docs,10
format,https://docs.microsoft.com/en-us/dotnet/api/system.string.format,String.Format Method (System) | Microsoft Docs,9
format,https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/format,Format | Microsoft Docs,8
format,https://docs.microsoft.com/en-us/dotnet/standard/base-types/standard-numeric-format-strings,Standard numeric format strings | Microsoft Docs,7
format,https://docs.microsoft.com/en-ie/scripting/javascript/reference/format-property-intl-numberformat,Intl.NumberFormat.prototype.format() - JavaScript | MDN,6
format,https://docs.microsoft.com/en-us/office/vba/language/reference/user-interface-help/format-function-visual-basic-for-applications,Format function (Visual Basic for Applications) | Microsoft Docs,5
format,https://docs.microsoft.com/en-us/dotnet/standard/base-types/custom-date-and-time-format-strings,Custom date and time format strings | Microsoft Docs,4
format,https://docs.microsoft.com/en-us/windows/win32/debug/pe-format,PE Format - Win32 apps | Microsoft Docs,3
format,https://docs.microsoft.com/en-us/dotnet/standard/base-types/standard-date-and-time-format-strings,Standard date and time format strings | Microsoft Docs,2
format,https://docs.microsoft.com/en-us/dotnet/api/system.windows.media.imaging.bitmapsource.format,BitmapSource.Format Property (System.Windows.Media.Imaging ...,1
azure,https://docs.microsoft.com/en-us/azure/,Microsoft Azure Documentation | Microsoft Docs,10
azure,https://docs.microsoft.com/en-us/cli/azure/,Overview of the Azure CLI | Microsoft Docs,9
azure,https://docs.microsoft.com/en-us/azure/azure-resource-manager/management/overview,Overview - Azure Resource Manager | Microsoft Docs,8
azure,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-whatis,Azure Active Directory,7
azure,https://docs.microsoft.com/en-us/azure/azure-monitor/overview,Azure Monitor overview - Azure Monitor | Microsoft Docs,6
azure,https://docs.microsoft.com/en-us/azure/storage/,"Azure Storage Documentation - Tutorials, API Reference | Microsoft ...",5
azure,https://docs.microsoft.com/en-us/azure/security-center/security-center-intro,What is Azure Security Center? | Microsoft Docs,4
azure,https://docs.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,Azure subscription limits and quotas - Azure Resource Manager ...,3
azure,https://docs.microsoft.com/en-us/learn/paths/azure-fundamentals/,Azure fundamentals learning path - Learn | Microsoft Docs,2
azure,https://docs.microsoft.com/en-us/azure/azure-functions/functions-overview,Azure Functions Overview | Microsoft Docs,1
if,https://docs.microsoft.com/en-us/scripting/javascript/reference/if-dot-dot-dot-else-statement-javascript,if...else - JavaScript | MDN,10
if,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/preprocessor-directives/preprocessor-if,#if preprocessor directive - C# Reference | Microsoft Docs,9
if,https://docs.microsoft.com/en-us/dax/if-function-dax,IF function (DAX) - DAX | Microsoft Docs,8
if,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/functions/function-if,If and Switch functions - PowerApps | Microsoft Docs,7
if,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_if,about_If - PowerShell | Microsoft Docs,6
if,https://docs.microsoft.com/en-us/azure/active-directory/conditional-access/what-if-tool,The Conditional Access What If tool - Azure Active Directory ...,5
if,https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/if,if | Microsoft Docs,4
if,https://docs.microsoft.com/en-us/azure/azure-resource-manager/templates/template-functions-logical,Logical functions for Azure Resource Manager templates,3
if,https://docs.microsoft.com/en-us/sql/t-sql/language-elements/if-else-transact-sql,IF...ELSE (Transact-SQL) - SQL Server | Microsoft Docs,2
if,https://docs.microsoft.com/en-us/dotnet/visual-basic/language-reference/error-messages/first-operand-in-a-binary-if-expression-must-be-nullable-or-a-reference-type,First operand in a binary 'If' expression must be nullable or a ...,1
Azure,https://docs.microsoft.com/en-us/azure/,Microsoft Azure Documentation | Microsoft Docs,10
Azure,https://docs.microsoft.com/en-us/cli/azure/,Overview of the Azure CLI | Microsoft Docs,9
Azure,https://docs.microsoft.com/en-us/azure/azure-resource-manager/management/overview,Overview - Azure Resource Manager | Microsoft Docs,8
Azure,https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-whatis,Azure Active Directory,7
Azure,https://docs.microsoft.com/en-us/azure/azure-monitor/overview,Azure Monitor overview - Azure Monitor | Microsoft Docs,6
Azure,https://docs.microsoft.com/en-us/azure/storage/,"Azure Storage Documentation - Tutorials, API Reference | Microsoft ...",5
Azure,https://docs.microsoft.com/en-us/azure/security-center/security-center-intro,What is Azure Security Center? | Microsoft Docs,4
Azure,https://docs.microsoft.com/en-us/azure/azure-resource-manager/management/azure-subscription-service-limits,Azure subscription limits and quotas - Azure Resource Manager ...,3
Azure,https://docs.microsoft.com/en-us/learn/paths/azure-fundamentals/,Azure fundamentals learning path - Learn | Microsoft Docs,2
Azure,https://docs.microsoft.com/en-us/azure/azure-functions/functions-overview,Azure Functions Overview | Microsoft Docs,1
xamarin,https://docs.microsoft.com/en-us/xamarin/,Xamarin documentation - Xamarin | Microsoft Docs,10
xamarin,https://docs.microsoft.com/en-us/xamarin/get-started/what-is-xamarin,What is Xamarin? - Xamarin | Microsoft Docs,9
xamarin,https://docs.microsoft.com/en-us/xamarin/xamarin-forms/,Xamarin.Forms documentation - Xamarin | Microsoft Docs,8
xamarin,https://docs.microsoft.com/en-us/xamarin/cross-platform/get-started/,Get Started With Xamarin - Xamarin | Microsoft Docs,7
xamarin,https://docs.microsoft.com/en-us/xamarin/ios/,Xamarin.iOS - Xamarin | Microsoft Docs,6
xamarin,https://docs.microsoft.com/en-us/xamarin/ios/deploy-test/testflight,Using TestFlight to Distribute Xamarin.iOS Apps - Xamarin ...,5
xamarin,https://docs.microsoft.com/en-us/xamarin/tools/live-player/,Xamarin Live Player for Xamarin.Forms - Xamarin | Microsoft Docs,4
xamarin,https://docs.microsoft.com/en-us/xamarin/cross-platform/app-fundamentals/code-sharing,Sharing Code Overview - Xamarin | Microsoft Docs,3
xamarin,https://docs.microsoft.com/en-us/xamarin/android/,Xamarin.Android - Xamarin | Microsoft Docs,2
xamarin,https://docs.microsoft.com/en-us/xamarin/cross-platform/app-fundamentals/building-cross-platform-applications/understanding-the-xamarin-mobile-platform,Part 1 – Understanding the Xamarin Mobile Platform - Xamarin ...,1
change password,https://docs.microsoft.com/en-us/azure/active-directory/user-help/active-directory-passwords-update-your-own-password,Reset your password using security info - Azure Active Directory ...,10
change password,https://docs.microsoft.com/en-us/openspecs/windows_protocols/ms-samr/41d7ca60-909f-4d0d-b85a-c9a35b5f2aaa,[MS-SAMR]: Change Password Pattern | Microsoft Docs,9
change password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-sspr-writeback,Configure password writeback for SSPR - Azure Active Directory ...,8
change password,https://docs.microsoft.com/en-us/azure/active-directory-b2c/custom-policy-password-change,Configure password change using custom policies - Azure AD B2C ...,7
change password,https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/interactive-logon-prompt-user-to-change-password-before-expiration,Interactive logon Prompt user to change password before expiration ...,6
change password,https://docs.microsoft.com/en-us/azure/active-directory/user-help/my-account-change-password-page,Change your work or school account password - Azure AD ...,5
change password,https://docs.microsoft.com/en-us/azure/active-directory/hybrid/how-to-connect-password-hash-synchronization,Implement password hash synchronization with Azure AD Connect ...,4
change password,https://docs.microsoft.com/en-us/advanced-threat-analytics/modifying-ata-config-dcpassword,Change Advanced Threat Analytics config - domain connectivity ...,3
change password,https://docs.microsoft.com/en-us/windows/security/identity-protection/hello-for-business/hello-and-password-changes,Windows Hello and password changes (Windows 10) - Microsoft ...,2
change password,https://docs.microsoft.com/en-us/sysinternals/downloads/pspasswd,PsPasswd - Windows Sysinternals | Microsoft Docs,1
Change password,https://docs.microsoft.com/en-us/azure/active-directory/user-help/active-directory-passwords-update-your-own-password,Reset your password using security info - Azure Active Directory ...,10
Change password,https://docs.microsoft.com/en-us/openspecs/windows_protocols/ms-samr/41d7ca60-909f-4d0d-b85a-c9a35b5f2aaa,[MS-SAMR]: Change Password Pattern | Microsoft Docs,9
Change password,https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-sspr-writeback,Configure password writeback for SSPR - Azure Active Directory ...,8
Change password,https://docs.microsoft.com/en-us/azure/active-directory-b2c/custom-policy-password-change,Configure password change using custom policies - Azure AD B2C ...,7
Change password,https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/interactive-logon-prompt-user-to-change-password-before-expiration,Interactive logon Prompt user to change password before expiration ...,6
Change password,https://docs.microsoft.com/en-us/advanced-threat-analytics/modifying-ata-config-dcpassword,Change Advanced Threat Analytics config - domain connectivity ...,5
Change password,https://docs.microsoft.com/en-us/azure/active-directory/hybrid/how-to-connect-password-hash-synchronization,Implement password hash synchronization with Azure AD Connect ...,4
Change password,https://docs.microsoft.com/en-us/windows/security/identity-protection/hello-for-business/hello-and-password-changes,Windows Hello and password changes (Windows 10) - Microsoft ...,3
Change password,https://docs.microsoft.com/en-us/sysinternals/downloads/pspasswd,PsPasswd - Windows Sysinternals | Microsoft Docs,2
Change password,https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/minimum-password-age,Minimum password age (Windows 10) - Windows security | Microsoft ...,1
calendar,https://docs.microsoft.com/en-us/dax/calendar-function-dax,CALENDAR function (DAX) - DAX | Microsoft Docs,10
calendar,https://docs.microsoft.com/en-us/graph/api/resources/calendar,calendar resource type - Microsoft Graph v1.0 | Microsoft Docs,9
calendar,https://docs.microsoft.com/en-us/uwp/api/windows.globalization.calendar,Calendar Class (Windows.Globalization) - Windows UWP ...,8
calendar,https://docs.microsoft.com/en-us/previous-versions/office/office-365-api/api/version-2.0/calendar-rest-operations,Outlook Calendar REST API reference (version 2.0) | Microsoft Docs,7
calendar,https://docs.microsoft.com/en-us/power-platform/admin/system-settings-dialog-box-calendar-tab,System Settings Calendar tab - Power Platform Admin center ...,6
calendar,https://docs.microsoft.com/en-us/graph/api/resources/event,event resource type - Microsoft Graph v1.0 | Microsoft Docs,5
calendar,https://docs.microsoft.com/en-us/graph/api/calendar-getschedule,calendar: getSchedule - Microsoft Graph v1.0 | Microsoft Docs,4
calendar,https://docs.microsoft.com/en-us/graph/outlook-calendar-concept-overview,Outlook calendar API overview - Microsoft Graph | Microsoft Docs,3
calendar,https://docs.microsoft.com/en-us/biztalk/core/office365-calendar-adapter,Use the Office 365 Outlook Calendar adapter - BizTalk Server ...,2
calendar,https://docs.microsoft.com/en-us/previous-versions/office/office-365-api/api/version-2.0/complex-types-for-mail-contacts-calendar,"Resource reference for the Mail, Calendar, Contacts, and Task ...",1
json,https://docs.microsoft.com/en-us/scripting/javascript/reference/json-object-javascript,JSON - JavaScript | MDN,10
json,https://docs.microsoft.com/en-us/scripting/javascript/reference/json-stringify-function-javascript,JSON.stringify() - JavaScript | MDN,9
json,https://docs.microsoft.com/en-us/sql/relational-databases/json/json-data-sql-server,Work with JSON data - SQL Server | Microsoft Docs,8
json,https://docs.microsoft.com/en-us/dotnet/api/system.text.json,System.Text.Json Namespace | Microsoft Docs,7
json,https://docs.microsoft.com/en-us/dotnet/core/tools/global-json,global.json overview - .NET Core CLI | Microsoft Docs,6
json,https://docs.microsoft.com/en-us/dotnet/core/tools/project-json-to-csproj,project.json and csproj comparison - .NET Core CLI | Microsoft Docs,5
json,https://docs.microsoft.com/en-us/azure/azure-functions/functions-bindings-expressions-patterns,Azure Functions bindings expressions and patterns | Microsoft Docs,4
json,https://docs.microsoft.com/en-us/sql/relational-databases/json/format-query-results-as-json-with-for-json-sql-server,Format Query Results as JSON with FOR JSON - SQL Server ...,3
json,https://docs.microsoft.com/en-us/dotnet/standard/serialization/system-text-json-migrate-from-newtonsoft-how-to,Migrate from Newtonsoft.Json to System.Text.Json - .NET | Microsoft ...,2
json,https://docs.microsoft.com/en-us/sql/t-sql/functions/json-functions-transact-sql,JSON Functions (Transact-SQL) - SQL Server | Microsoft Docs,1
email,https://docs.microsoft.com/en-us/intune/configuration/email-settings-configure,Configure email settings in Microsoft Intune - Azure | Microsoft Docs,10
email,https://docs.microsoft.com/en-us/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/fix-error-code-550-5-1-10-in-exchange-online,Fix email delivery issues for error code 550 5.1.10 in Exchange Online,9
email,https://docs.microsoft.com/en-us/exchange/mail-flow-best-practices/non-delivery-reports-in-exchange-online/fix-error-code-550-4-4-7-in-exchange-online,Fix email delivery issues for error code 550 4.4.7 in Exchange Online,8
